Time,Output
-11.7625,0.658831798
-11.762,0.65884014
-11.7615,0.65884885
-11.761,0.658857854
-11.7605,0.658867111
-11.76,0.658876574
-11.7595,0.658886187
-11.759,0.658895907
-11.7585,0.658905665
-11.758,0.658915369
-11.7575,0.658924933
-11.757,0.658934278
-11.7565,0.658943334
-11.756,0.658952017
-11.7555,0.658960241
-11.755,0.658967969
-11.7545,0.658975216
-11.754,0.658982036
-11.7535,0.658988509
-11.753,0.658994728
-11.7525,0.659000815
-11.752,0.659006913
-11.7515,0.6590131
-11.751,0.65901937
-11.7505,0.659025698
-11.75,0.659032078
-11.7495,0.659038514
-11.749,0.659045
-11.7485,0.659051489
-11.748,0.659057892
-11.7475,0.659064115
-11.747,0.659070112
-11.7465,0.659075902
-11.746,0.659081528
-11.7455,0.659087033
-11.745,0.659092483
-11.7445,0.659097976
-11.744,0.659103583
-11.7435,0.659109326
-11.743,0.659115228
-11.7425,0.659121305
-11.742,0.659127543
-11.7415,0.659133908
-11.741,0.659140386
-11.7405,0.659146947
-11.74,0.659153492
-11.7395,0.659159969
-11.739,0.65916644
-11.7385,0.659172977
-11.738,0.659179597
-11.7375,0.659186267
-11.737,0.659192935
-11.7365,0.659199555
-11.736,0.659206102
-11.7355,0.659212613
-11.735,0.659219159
-11.7345,0.659225774
-11.734,0.65923247
-11.7335,0.659239285
-11.733,0.659246263
-11.7325,0.659253394
-11.732,0.659260608
-11.7315,0.659267852
-11.731,0.659275123
-11.7305,0.65928243
-11.73,0.659289768
-11.7295,0.659297162
-11.729,0.659304683
-11.7285,0.659312412
-11.728,0.659320411
-11.7275,0.659328709
-11.727,0.659337297
-11.7265,0.659346176
-11.726,0.659355395
-11.7255,0.659364993
-11.725,0.659374939
-11.7245,0.659385159
-11.724,0.659395587
-11.7235,0.659406169
-11.723,0.659416856
-11.7225,0.65942758
-11.722,0.659438279
-11.7215,0.659448887
-11.721,0.659459322
-11.7205,0.659469569
-11.72,0.6594797
-11.7195,0.659489781
-11.719,0.65949984
-11.7185,0.659509925
-11.718,0.659520075
-11.7175,0.659530286
-11.717,0.659540526
-11.7165,0.659550734
-11.716,0.659560834
-11.7155,0.659570776
-11.715,0.659580534
-11.7145,0.659590084
-11.714,0.659599433
-11.7135,0.659608645
-11.713,0.659617818
-11.7125,0.659627019
-11.712,0.659636243
-11.7115,0.659645423
-11.711,0.659654489
-11.7105,0.659663437
-11.71,0.659672307
-11.7095,0.659681091
-11.709,0.659689721
-11.7085,0.659698153
-11.708,0.659706377
-11.7075,0.659714367
-11.707,0.659722095
-11.7065,0.65972956
-11.706,0.659736728
-11.7055,0.659743562
-11.705,0.659750066
-11.7045,0.659756235
-11.704,0.659762048
-11.7035,0.659767493
-11.703,0.659772524
-11.7025,0.659777099
-11.702,0.659781269
-11.7015,0.659785111
-11.701,0.659788656
-11.7005,0.659791915
-11.7,0.659794899
-11.6995,0.659797627
-11.699,0.659800139
-11.6985,0.65980246
-11.698,0.659804586
-11.6975,0.659806541
-11.697,0.659808427
-11.6965,0.659810355
-11.696,0.659812368
-11.6955,0.659814457
-11.695,0.659816611
-11.6945,0.65981886
-11.694,0.659821259
-11.6935,0.65982383
-11.693,0.65982655
-11.6925,0.65982938
-11.692,0.659832264
-11.6915,0.659835151
-11.691,0.659838002
-11.6905,0.659840784
-11.69,0.659843484
-11.6895,0.659846112
-11.689,0.659848656
-11.6885,0.659851076
-11.688,0.659853338
-11.6875,0.659855427
-11.687,0.659857335
-11.6865,0.659859031
-11.686,0.65986048
-11.6855,0.659861652
-11.685,0.65986252
-11.6845,0.659863059
-11.684,0.659863279
-11.6835,0.659863247
-11.683,0.659863025
-11.6825,0.659862615
-11.682,0.659862005
-11.6815,0.659861228
-11.681,0.659860322
-11.6805,0.659859275
-11.68,0.659858028
-11.6795,0.659856558
-11.679,0.659854872
-11.6785,0.659852941
-11.678,0.65985069
-11.6775,0.659848005
-11.677,0.659844774
-11.6765,0.659840956
-11.676,0.659836564
-11.6755,0.659831614
-11.675,0.659826094
-11.6745,0.659819986
-11.674,0.659813316
-11.6735,0.65980613
-11.673,0.659798432
-11.6725,0.659790213
-11.672,0.659781493
-11.6715,0.659772315
-11.671,0.65976273
-11.6705,0.659752797
-11.67,0.659742552
-11.6695,0.659732002
-11.669,0.659721174
-11.6685,0.659710173
-11.668,0.659699145
-11.6675,0.659688195
-11.667,0.659677371
-11.6665,0.659666677
-11.666,0.65965611
-11.6655,0.659645694
-11.665,0.659635443
-11.6645,0.659625333
-11.664,0.659615359
-11.6635,0.659605538
-11.663,0.659595875
-11.6625,0.659586406
-11.662,0.65957718
-11.6615,0.659568225
-11.661,0.659559556
-11.6605,0.659551175
-11.66,0.659543096
-11.6595,0.659535347
-11.659,0.659527917
-11.6585,0.659520756
-11.658,0.659513846
-11.6575,0.659507172
-11.657,0.659500632
-11.6565,0.659494093
-11.656,0.659487525
-11.6555,0.659480976
-11.655,0.659474463
-11.6545,0.659467962
-11.654,0.659461482
-11.6535,0.659455061
-11.653,0.659448732
-11.6525,0.659442528
-11.652,0.659436447
-11.6515,0.659430451
-11.651,0.659424514
-11.6505,0.659418653
-11.65,0.65941291
-11.6495,0.659407327
-11.649,0.659401929
-11.6485,0.659396741
-11.648,0.659391755
-11.6475,0.659386904
-11.647,0.659382112
-11.6465,0.659377343
-11.646,0.659372627
-11.6455,0.659368039
-11.645,0.659363656
-11.6445,0.659359539
-11.644,0.659355732
-11.6435,0.659352247
-11.643,0.659349081
-11.6425,0.659346243
-11.642,0.65934372
-11.6415,0.659341468
-11.641,0.659339449
-11.6405,0.659337646
-11.64,0.659336041
-11.6395,0.6593346
-11.639,0.65933331
-11.6385,0.659332235
-11.638,0.659331513
-11.6375,0.659331294
-11.637,0.659331676
-11.6365,0.659332686
-11.636,0.659334337
-11.6355,0.659336618
-11.635,0.659339448
-11.6345,0.659342724
-11.634,0.659346366
-11.6335,0.659350281
-11.633,0.659354366
-11.6325,0.659358552
-11.632,0.659362776
-11.6315,0.659366992
-11.631,0.659371232
-11.6305,0.659375585
-11.63,0.659380121
-11.6295,0.659384853
-11.629,0.659389755
-11.6285,0.659394771
-11.628,0.65939983
-11.6275,0.659404896
-11.627,0.659409975
-11.6265,0.659415081
-11.626,0.659420246
-11.6255,0.659425545
-11.625,0.659431059
-11.6245,0.659436807
-11.624,0.659442788
-11.6235,0.659449018
-11.623,0.659455483
-11.6225,0.659462077
-11.622,0.659468659
-11.6215,0.659475115
-11.621,0.659481393
-11.6205,0.659487491
-11.62,0.659493411
-11.6195,0.659499122
-11.619,0.659504619
-11.6185,0.659509935
-11.618,0.65951509
-11.6175,0.659520075
-11.617,0.65952487
-11.6165,0.659529449
-11.616,0.659533779
-11.6155,0.659537859
-11.615,0.659541738
-11.6145,0.65954547
-11.614,0.659549066
-11.6135,0.659552469
-11.613,0.659555578
-11.6125,0.659558332
-11.612,0.659560743
-11.6115,0.659562844
-11.611,0.659564646
-11.6105,0.659566172
-11.61,0.659567498
-11.6095,0.659568735
-11.609,0.659569967
-11.6085,0.659571246
-11.608,0.659572594
-11.6075,0.659573961
-11.607,0.659575283
-11.6065,0.659576529
-11.606,0.659577633
-11.6055,0.659578489
-11.605,0.659579037
-11.6045,0.659579245
-11.604,0.659579037
-11.6035,0.659578344
-11.603,0.659577204
-11.6025,0.659575749
-11.602,0.659574092
-11.6015,0.659572279
-11.601,0.659570341
-11.6005,0.659568319
-11.6,0.659566249
-11.5995,0.659564166
-11.599,0.659562091
-11.5985,0.659560024
-11.598,0.659557946
-11.5975,0.659555811
-11.597,0.659553568
-11.5965,0.65955119
-11.596,0.659548645
-11.5955,0.659545875
-11.595,0.659542817
-11.5945,0.659539428
-11.594,0.659535677
-11.5935,0.659531531
-11.593,0.65952696
-11.5925,0.65952195
-11.592,0.659516489
-11.5915,0.659510609
-11.591,0.659504399
-11.5905,0.659497932
-11.59,0.659491237
-11.5895,0.659484343
-11.589,0.659477287
-11.5885,0.659470085
-11.588,0.659462685
-11.5875,0.659454972
-11.587,0.659446876
-11.5865,0.659438428
-11.586,0.659429702
-11.5855,0.659420734
-11.585,0.659411533
-11.5845,0.659402107
-11.584,0.659392515
-11.5835,0.659382849
-11.583,0.659373187
-11.5825,0.65936361
-11.582,0.659354229
-11.5815,0.659345166
-11.581,0.659336494
-11.5805,0.659328228
-11.58,0.659320383
-11.5795,0.659312969
-11.579,0.659306015
-11.5785,0.659299606
-11.578,0.659293833
-11.5775,0.659288771
-11.577,0.659284483
-11.5765,0.659280977
-11.576,0.65927816
-11.5755,0.659275884
-11.575,0.659274027
-11.5745,0.65927252
-11.574,0.65927134
-11.5735,0.659270474
-11.573,0.659269891
-11.5725,0.659269521
-11.572,0.659269299
-11.5715,0.659269206
-11.571,0.659269224
-11.5705,0.659269296
-11.57,0.65926936
-11.5695,0.659269371
-11.569,0.659269278
-11.5685,0.659269034
-11.568,0.659268617
-11.5675,0.659268038
-11.567,0.659267354
-11.5665,0.659266658
-11.566,0.659266052
-11.5655,0.659265622
-11.565,0.659265375
-11.5645,0.659265239
-11.564,0.659265122
-11.5635,0.659264975
-11.563,0.659264815
-11.5625,0.659264646
-11.562,0.659264433
-11.5615,0.659264174
-11.561,0.659263935
-11.5605,0.659263787
-11.56,0.659263762
-11.5595,0.659263891
-11.559,0.659264193
-11.5585,0.659264662
-11.558,0.659265313
-11.5575,0.659266159
-11.557,0.65926718
-11.5565,0.659268361
-11.556,0.659269682
-11.5555,0.65927112
-11.555,0.659272668
-11.5545,0.659274361
-11.554,0.659276239
-11.5535,0.659278298
-11.553,0.659280504
-11.5525,0.659282836
-11.552,0.659285303
-11.5515,0.659287942
-11.551,0.659290764
-11.5505,0.659293742
-11.55,0.659296848
-11.5495,0.659300078
-11.549,0.659303444
-11.5485,0.659306957
-11.548,0.659310599
-11.5475,0.65931431
-11.547,0.659318018
-11.5465,0.659321657
-11.546,0.659325137
-11.5455,0.659328338
-11.545,0.659331162
-11.5445,0.659333558
-11.544,0.659335532
-11.5435,0.659337118
-11.543,0.659338321
-11.5425,0.659339126
-11.542,0.659339542
-11.5415,0.659339598
-11.541,0.659339368
-11.5405,0.659338953
-11.54,0.659338405
-11.5395,0.659337753
-11.539,0.659337023
-11.5385,0.659336192
-11.538,0.659335181
-11.5375,0.659333928
-11.537,0.659332476
-11.5365,0.659330969
-11.536,0.659329572
-11.5355,0.659328391
-11.535,0.659327468
-11.5345,0.659326798
-11.534,0.659326367
-11.5335,0.659326173
-11.533,0.659326219
-11.5325,0.659326481
-11.532,0.659326877
-11.5315,0.65932733
-11.531,0.65932785
-11.5305,0.659328493
-11.53,0.659329299
-11.5295,0.659330275
-11.529,0.659331399
-11.5285,0.659332648
-11.528,0.659334031
-11.5275,0.659335602
-11.527,0.659337423
-11.5265,0.659339486
-11.526,0.659341747
-11.5255,0.659344173
-11.525,0.659346754
-11.5245,0.659349517
-11.524,0.659352516
-11.5235,0.65935575
-11.523,0.659359139
-11.5225,0.659362599
-11.522,0.659366103
-11.5215,0.659369663
-11.521,0.65937329
-11.5205,0.659376983
-11.52,0.659380752
-11.5195,0.659384584
-11.519,0.65938841
-11.5185,0.659392165
-11.518,0.65939585
-11.5175,0.659399473
-11.517,0.659402977
-11.5165,0.659406248
-11.516,0.659409214
-11.5155,0.659411869
-11.515,0.659414238
-11.5145,0.659416362
-11.514,0.659418291
